,Id,PostTypeId,AcceptedAnswerId,CreaionDate,Score,ViewCount,Body,OwnerUserId,LasActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,LastEditorUserId,LastEditDate,CommunityOwnedDate,ParentId,ClosedDate,OwnerDisplayName,LastEditorDisplayName
21907,24225,2,,2012-03-07 00:53:27.0,4,,"<p>Instead of these tests, you might want to check out the <a href=""http://stats.stackexchange.com/questions/19590/why-does-the-breusch-pagan-test-fail/19598#19598"">Breusch-Pagan</a> test and <a href=""http://stats.stackexchange.com/questions/8107/how-do-i-interpret-the-results-of-a-breuschpagan-test/8162#8162"">White's</a> version of the same. Neither requires a normality assumption and White has shown that his version is quite robust to misspecification.</p>
",401.0,2012-03-07 00:53:27.0,,,,1,,,,,2591.0,,,
11362,12386,1,12431.0,2011-06-27 03:33:31.0,32,4103.0,"<p>I find resources like the <a href=""http://matthias.vallentin.net/probability-and-statistics-cookbook/"">Probability and Statistics Cookbook</a> and <a href=""http://www.google.com/url?sa=t&amp;source=web&amp;cd=2&amp;ved=0CC4QFjAB&amp;url=http://cran.r-project.org/doc/contrib/YanchangZhao-refcard-data-mining.pdf&amp;rct=j&amp;q=%22r%20reference%20card%20for%20data%20mining%22&amp;ei=XfcHTtzxI8jKiAKxksSxDQ&amp;usg=AFQjCNEHAMYdpy7bna4XA29FtmWOQqboUw&amp;sig2=cMZww4Cm9E50tJoewbi3Rg&amp;cad=rja"">The R Reference Card for Data Mining</a> incredibly useful. They obviously serve well as references but also help me to organize my thoughts on a subject and get the lay of the land. </p>

<p>Q: Does anything like these resources exist for machine learning methods?</p>

<p>I'm imagining a reference card which for each ML method would include:</p>

<ul>
<li>General properties</li>
<li>When the method works well</li>
<li>When the method does poorly</li>
<li>From which or to which other methods the method generalizes. Has it been mostly superseded?</li>
<li>Seminal papers on the method</li>
<li>Open problems associated with the method</li>
<li>Computational intensity</li>
</ul>

<p>All these things can be found with some minimal digging through textbooks I'm sure. It would just be really convenient to have them on a few pages. </p>
",3577.0,2014-05-29 15:59:19.0,Machine learning cookbook / reference card / cheatsheet?,<machine-learning><books>,12.0,10,45.0,88.0,2011-06-27 07:28:41.0,,,,,
54048,66520,5,,2013-08-04 18:42:38.0,0,,"<p>In probability and statistics, an exponential family is an important class of probability distributions sharing a certain form, specified below. This special form is chosen for mathematical convenience, on account of some useful algebraic properties, as well as for generality, as exponential families are in a sense very natural distributions to consider. The term exponential class is sometimes used in place of ""exponential family"".</p>

<p>From Mood et al. (pages 312 and 313, 1974):</p>

<ol>
<li><strong>One-parameter exponential family</strong>.</li>
</ol>

<p>A one-parameter family ($\\theta$ is unidimensional) of densities $f(.;\\theta)$ that can be expressed as:</p>

<p>$f_X(x;\\theta) = \\text{a}(\\theta)\\text{b}(x)\\text{exp}[\\text{c}(\\theta)\\text{d}(x)]$,</p>

<p>for $-\\infty &lt; x &lt; \\infty$, for all $\\theta \\in$ parametric space, and for a suitable choice of functions $\\text{a}(.),\\text{b}(.),\\text{c}(.)$, and $\\text{d}(.)$ is defined to belong to the exponential family or exponential class.</p>

<ol>
<li><strong>K-parameter exponential family</strong>.</li>
</ol>

<p>A family of densities $f(.,\\theta_1,...,\\theta_k)$ that can be expressed as:</p>

<p>$f_X(x;\\theta_1,...,\\theta_k) = \\text{a}(\\theta_1,...,\\theta_k)\\text{b}(x)\\text{exp}\\sum\\limits_{j=1}^k{\\text{c}_j(\\theta_1,...,\\theta_k)\\text{d}_j(x)}$,</p>

<p>for a suitable choice of functions $\\text{a}(.,...,.), \\text{b}(.), \\text{c}_j(.,...,.)$, $\\text{d}_j(.)$, $j=1,....,k$, is defined to belong to the exponential family.</p>

<p>References:</p>

<p><a href=""http://rads.stackoverflow.com/amzn/click/0070854653"" rel=""nofollow"">Mood, A. M., Graybill, F. A., &amp; Boes, D. C. (1974). Introduction to theory of statistics. (B. C. Harrinson &amp; M. Eichberg, Eds.) (3rd ed., p. 564). McGraw-Hill, Inc.</a></p>

<p><a href=""https://en.wikipedia.org/wiki/Exponential_family"" rel=""nofollow"">Wkipedia</a></p>
",22468.0,2013-08-04 21:12:36.0,,,,0,,22468.0,2013-08-04 21:12:36.0,,,,,
7333,7953,2,,2011-03-07 11:59:48.0,17,,"<p>Although I didn't try this explicitly from with R (I usually post-process the Tables in Latex directly with <code>\\rowcolor</code>, <code>\\rowcolors</code>, or the <a href=""http://ctan.org/pkg/colortbl"">colortbl</a> package), I think it would be easy to do this by playing with the <code>add.to.row</code> arguments in <code>print.xtable()</code>. It basically expect two components (passed as <code>list</code>): (1) row number, and (2) $\\LaTeX$ command. Please note that command are added at the end of the specified row(s).</p>

<p>It seems to work, with the <code>colortbl</code> package. So, something like this</p>

<pre><code>&lt;&lt;result=tex&gt;&gt;
library(xtable)
m &lt;- matrix(sample(1:10,10), nr=2)
print(xtable(m), add.to.row=list(list(1),""\\\\rowcolor[gray]{.8} ""))
@
</code></pre>

<p>gives me</p>

<p><img src=""http://i.stack.imgur.com/BkcUT.png"" alt=""enter image description here""></p>

<p>(This is a customized Beamer template, but this should work with a standard document. With Beamer, you'll probably want to add the <code>table</code> option when loading the package.)</p>

<p><strong>Update:</strong></p>

<p>Following @Conjugate's suggestion, you can also rely on <a href=""http://cran.r-project.org/web/packages/Hmisc/index.html"">Hmisc</a> facilities for handling $\\TeX$ output, see the many options of the <code>latex()</code> function. Here is an example of use:</p>

<pre><code>library(Hmisc)
## print the second row in bold (including row label)
form.mat &lt;- matrix(c(rep("""", 5), rep(""bfseries"", 5)), nr=2, byrow=TRUE)
w1 &lt;- latex(m, rownamesTexCmd=c("""",""bfseries""), cellTexCmds=form.mat, 
            numeric.dollar=FALSE, file='/tmp/out1.tex')
w1  # call latex on /tmp/out1.tex
## highlight the second row in gray (as above)
w2 &lt;- latex(m, rownamesTexCmd=c("""",""rowcolor[gray]{.8}""), 
            numeric.dollar=FALSE, file='/tmp/out2.tex')
w2
</code></pre>
",930.0,2011-03-08 10:30:23.0,,,,2,,930.0,2011-03-08 10:30:23.0,,7952.0,,,
10618,11566,2,,2011-06-04 15:07:10.0,2,,"<p>The simplest non-trivial example I can construct uses an iid 2-vector of Bernoulli variables and the projection matrix {{1,1},{0,0}}.  That is,  $\\mathbf{P}(\\mathbf{x_1},\\mathbf{x_2})&#39; = \\mathbf{x_1+x_2}$.  The projected random variable can take on the values 0, 1, and 2 with positive probability (it has a binomial distribution).  Even when you rescale this to be an orthogonal projection, there will still be three distinct values with positive probability.  Therefore, because the original Bernoulli variables can only have two distinct values, you cannot generally expect the projected components to have the same distribution as the original variables.</p>

<p>It may be worth making a few additional remarks:</p>

<ol>
<li><p>In most cases, any proper projection (i.e., not the identity) <em>does</em> change the covariance matrix.  This is obvious, because the resulting covariance matrix must have a nonzero kernel, implying it is not positive definite.</p></li>
<li><p>When the original distribution is normal, the components of $\\mathbf{X}_P$ will be normal or degenerate (that is, constant).  If the projection is proper, the components cannot possibly be iid, because the covariance is degenerate.</p></li>
</ol>
",919.0,2011-06-04 15:07:10.0,,,,0,,,,,11557.0,,,
64078,79312,1,,2013-12-11 09:56:38.0,0,130.0,"<p>Why does the ACF of an AR(1) contains sometimes a sinusoid-like pattern? and what does it mean? </p>

<p><img src=""http://i.stack.imgur.com/PszbQ.png"" alt=""enter image description here""></p>

<p><strong>EDIT</strong></p>

<p>I think the time series is fit to AR(1). 
As I understand it, in an AR model, the value of x at time t is a linear function of the value of x at time t–1.</p>

<p><img src=""http://i.stack.imgur.com/aBLQl.png"" alt=""enter image description here""></p>

<p>If wt is random, then we see a random Figure in correlogram. If not, we can see a pattern in correlogram, is it correct? If yes why do we see here a sinusoid pattern? In this  case has the wt (Residual) a constant value?</p>
",30701.0,2013-12-11 10:22:29.0,why sinusoid pattern in correlogram,<time-series><correlation><autocorrelation>,0.0,7,0.0,22047.0,2013-12-11 10:22:29.0,,,,,
65558,81017,1,,2014-01-02 03:14:33.0,0,38.0,"<p>Is there a simple formula to find the MAPE for $Y_t$ if we know the MAPE for $\\Delta$log($Y_t)$ ~ iid N($\\mu$,$\\sigma^2$)?</p>

<p>Is there an algebraic relation between the two?</p>

<p>What if I use RMSFE instead? Or some other measure of forecast accuracy.</p>
",30192.0,2014-01-06 00:41:36.0,Is there a formula to find the MAPE for $Y_t$ if we know the MAPE for $\\Delta$log($Y_t)$?,<time-series><forecasting><econometrics>,0.0,8,1.0,30192.0,2014-01-06 00:41:36.0,,,,,
77919,96354,2,,2014-05-04 16:31:20.0,1,,"<p>$\\newcommand{\\E}{\\mathrm{E}}$
$\\newcommand{\\Var}{\\mathrm{Var}}$
$\\newcommand{\\Cov}{\\mathrm{Cov}}$
 Consider a portfolio, $P_{i} = w_{i1}*X_{i} + w_{i2}*Y_{i}$. For a given expected return, $\\E[P_i] = \\E[X_i] + \\E[Y_i]$, we want to construct the portfolio in a manner which minimizes the overall volatility (risk), which is typically measured in terms of standard deviation. Equivalently, we can use the variance as a measurement of risk, since it is just volatility squared. Then, the overall variance of our portfolio is:
$$
\\Var[P_i] = w_{i1}^{2}*\\Var[X_i] + w_{i2}^{2}*\\Var[Y_i] + 2*\\Cov[X_{i},Y_{i}]*w_{i1}*w_{i2}
$$
So, for a given expected return, we choose a combination of assets $X_{i}$ and $Y_{i}$ which minimizes $\\Var[P_{i}]$, i.e. $\\Cov[X_{i},Y_{i}] &lt; 0$.  </p>
",44063.0,2014-05-04 16:31:20.0,,,,0,,,,,96277.0,,,
38206,46149,2,,2012-12-18 05:12:28.0,1,,"<p>KL-Divergence(or Information Gain) can be one solution, which gives quantitative estimation of how corelated the target and feature are. I also use log oddratio to see how the oddratio changes as the feature  value changes, which leads to feature preprocessing techniques that can be applied the the feature.</p>
",17408.0,2012-12-18 05:12:28.0,,,,0,,,,,46106.0,,,
8743,9521,2,,2011-04-13 15:19:35.0,5,,"<p>You should use the median, not the mean. However, you'll need to use methods appropriate for <a href=""http://en.wikipedia.org/wiki/Survival_analysis"" rel=""nofollow"">time-to-event (survival)</a> data that deal appropriately with <a href=""http://en.wikipedia.org/wiki/Censoring_%28statistics%29"" rel=""nofollow"">censoring</a>: if the account was handled to another employee without being resolved you know only that the time <em>this</em> employee <em>would</em> have taken to resolve it is greater than or equal to the observed time for which they handled the account, so the observed time is right-censored.</p>

<p>The appropriate method would be to construct the <a href=""http://en.wikipedia.org/wiki/Kaplan-Meier_estimator"" rel=""nofollow"">Kaplan–Meier estimator</a> of the survival function. If you want a single number for each employee, you could use this method to obtain the median 'survival' time, which gives you the median time taken to resolve an account. You can also get confidence intervals for the median if you so wish. It's possible that the median may not be estimable for some employees though if they fail to resolve more than half the accounts before they are re-assigned, in which case you could consider switching to some other percentile that is estimable for all (or at least the great majority of) employees.</p>

<p>The Kaplan-Meier estimator isn't difficult -- it's perfectly possible, if somewhat tedious, to construct by hand, and straightforward to program. Confidence intervals are a bit more tricky, but are available in any decent statistical software package.</p>
",449.0,2011-04-13 15:19:35.0,,,,3,,,,,9517.0,,,
