,id,date,text,uuid
42697,42698,2021-02-05,"If the creature you control is still a legal target as Blizzard Brawl tries to resolve but the target creature you don’t control isn’t, the creature you control will still get the bonuses until end of turn.",fea48b09-0f75-525a-8506-034130c0f6b6
42698,42699,2021-02-05,"Snow is a supertype, not a card type. It has no rules meaning or function by itself, but spells and abilities may refer to it.",fea48b09-0f75-525a-8506-034130c0f6b6
42699,42700,2021-02-05,The {S} symbol is a generic mana symbol. It represents a cost that can be paid by one mana that was produced by a snow source. That mana can be any color or colorless.,fea48b09-0f75-525a-8506-034130c0f6b6
42700,42701,2021-02-05,"Snow isn’t a type of mana. If an effect says you may spend mana as though it were any type, you can’t pay for {S} using mana that wasn’t produced by a snow source.",fea48b09-0f75-525a-8506-034130c0f6b6
42701,42702,2021-02-05,Some cards have additional effects for each {S} spent to cast them. You can cast these spells even if you don’t spend any snow mana to cast them; their additional effects simply won’t do anything.,fea48b09-0f75-525a-8506-034130c0f6b6
42702,42703,2021-02-05,"The Kaldheim set doesn’t have any cards with mana costs that include {S}, but some previous sets do. If an effect says such a spell costs {1} less to cast, that reduction doesn’t apply to any {S} costs. This is also true for activated abilities that inclu",fea48b09-0f75-525a-8506-034130c0f6b6
61996,61997,2015-06-22,"If you cast an Aura spell targeting a permanent controlled by an opponent, you still control that Aura. It will count toward the bonus given by Helm of the Gods.",a07e27bb-cacf-5e9b-b0d3-248eac66e035
79751,79752,2013-09-20,"If a turn has multiple combat phases, the ability can only be activated before the beginning of the declare attackers step of the first combat phase in that turn.",6bded0a1-5a83-5f68-b252-681e5de7ce1e
84799,84800,2018-01-19,"If the mana cost of the revealed card includes {X}, X is considered to be 0.",fb2e5522-233a-547f-b600-b81701a2a29e
84800,84801,2018-01-19,"If the revealed card doesn’t have a mana cost (because it’s a land card, for example), its converted mana cost is 0.",fb2e5522-233a-547f-b600-b81701a2a29e
84801,84802,2018-01-19,"The converted mana cost of a split card, such as cards with aftermath from the Amonkhet block, is based on the combined mana cost of its two halves.",fb2e5522-233a-547f-b600-b81701a2a29e
84802,84803,2018-01-19,"In a Two-Headed Giant game, Twilight Prophet’s last ability causes the opposing team to lose twice X life and you gain X life.",fb2e5522-233a-547f-b600-b81701a2a29e
84803,84804,2018-01-19,"Once you have the city’s blessing, you have it for the rest of the game, even if you lose control of some or all of your permanents. The city’s blessing isn’t a permanent itself and can’t be removed by any effect.",fb2e5522-233a-547f-b600-b81701a2a29e
84804,84805,2018-01-19,"A permanent is any object on the battlefield, including tokens and lands. Spells and emblems aren’t permanents.",fb2e5522-233a-547f-b600-b81701a2a29e
84805,84806,2018-01-19,"If you cast a spell with ascend, you don’t get the city’s blessing until it resolves. Players may respond to that spell by trying to change whether you get the city’s blessing.",fb2e5522-233a-547f-b600-b81701a2a29e
84806,84807,2018-01-19,"If you control ten permanents but don’t control a permanent or resolving spell with ascend, you don’t get the city’s blessing. For example, if you control ten permanents, lose control of one, then cast Golden Demise, you won’t have the city’s blessing and",fb2e5522-233a-547f-b600-b81701a2a29e
84807,84808,2018-01-19,"If your tenth permanent enters the battlefield and then a permanent leaves the battlefield immediately afterwards (most likely due to the “Legend Rule” or due to being a creature with 0 toughness), you get the city’s blessing before it leaves the battlefi",fb2e5522-233a-547f-b600-b81701a2a29e
84808,84809,2018-01-19,"Ascend on a permanent isn’t a triggered ability and doesn’t use the stack. Players can respond to a spell that will give you your tenth permanent, but they can’t respond to getting the city’s blessing once you control that tenth permanent. This means that",fb2e5522-233a-547f-b600-b81701a2a29e
84809,84810,2018-01-19,"Some cards have triggered abilities with an intervening “if” clause that checks whether you have the city’s blessing. These are worded “[Trigger condition], if you have the city’s blessing, [effect].” You must already have the city’s blessing in order for",fb2e5522-233a-547f-b600-b81701a2a29e
