,id,artist,asciiName,availability,borderColor,cardKingdomFoilId,cardKingdomId,colorIdentity,colorIndicator,colors,convertedManaCost,duelDeck,edhrecRank,faceConvertedManaCost,faceName,flavorName,flavorText,frameEffects,frameVersion,hand,hasAlternativeDeckLimit,hasContentWarning,hasFoil,hasNonFoil,isAlternative,isFullArt,isOnlineOnly,isOversized,isPromo,isReprint,isReserved,isStarter,isStorySpotlight,isTextless,isTimeshifted,keywords,layout,leadershipSkills,life,loyalty,manaCost,mcmId,mcmMetaId,mtgArenaId,mtgjsonV4Id,mtgoFoilId,mtgoId,multiverseId,name,number,originalReleaseDate,originalText,originalType,otherFaceIds,power,printings,promoTypes,purchaseUrls,rarity,scryfallId,scryfallIllustrationId,scryfallOracleId,setCode,side,subtypes,supertypes,tcgplayerProductId,text,toughness,type,types,uuid,variations,watermark
10,11,Thomas M. Baxa,,"mtgo,paper",black,123218.0,,B,,B,2.0,,14468.0,,,,"""My favorite curses are those that manifest slowly, blackening the soul in ways the victim cannot hope to understand.""
—Erissa, bog witch",,2003,,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,Enchant,normal,,,,{1}{B},16296.0,1117.0,,e0d8ae7a-f932-5b4b-b262-74ed78de4a7c,,,,Contaminated Bond,132★,,,,,,"10E,9ED,MRD",,"{'cardKingdomFoil': 'https://mtgjson.com/links/790c3ec44c289f6b', 'cardmarket': 'https://mtgjson.com/links/d5c8d5fccbe0e6ec', 'tcgplayer': 'https://mtgjson.com/links/75879469351a1bc9'}",common,67f5ba76-b6dd-46cb-8b5f-415da19986e0,455626bc-4c8c-4257-a12e-21ac7207e1fe,56aeaee8-e014-485e-b7ad-e26ade663bcf,10E,,Aura,,15084.0,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Whenever enchanted creature attacks or blocks, its controller loses 3 life.",,Enchantment — Aura,Enchantment,9c0311e8-03c1-527d-9d90-6fa2dba2aae9,2562f5f1-4de2-5834-a9ff-99092380d910,
11,12,Jim Nelson,,"mtgo,paper",black,123225.0,,B,,B,2.0,,11535.0,,,,"""The dead make good soldiers. They can't disobey orders, never surrender, and don't stop fighting when a random body part falls off.""
—Nevinyrral,
*Necromancer's Handbook*",,2003,,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,normal,,,,{1}{B},16303.0,1631.0,,b9f5ce14-f268-5eb2-840c-461b5455b99e,,,,Drudge Skeletons,139★,,,,,1,"10E,2ED,3ED,4BB,4ED,5ED,6ED,7ED,8ED,9ED,CED,CEI,DDD,DPA,FBB,GVL,LEA,LEB,M10,PS11,SUM",,"{'cardKingdomFoil': 'https://mtgjson.com/links/c8a8bf838995f771', 'cardmarket': 'https://mtgjson.com/links/675cd859cd4c229e', 'tcgplayer': 'https://mtgjson.com/links/e9a3b897e9ca4811'}",uncommon,d9038925-7acf-42b7-abec-c8eec9f591b6,3e2ce229-eced-4197-9642-9f0c4f83bbc3,c180ed02-07f4-4538-9bea-8c249234a8e2,10E,,Skeleton,,15108.0,"{B}: Regenerate Drudge Skeletons. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)",1,Creature — Skeleton,Creature,d9902515-6292-5a4a-9bde-a7616ad5f0bc,2d080e75-7e1b-5f75-9c8f-18d02a4710dd,
12,13,Christopher Rush,,"mtgo,paper",black,123100.0,122732.0,W,,W,1.0,,8856.0,,,,"""Illusion is a crutch for those with no grounding in reality.""
—Cho-Manno",,2003,,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,normal,,,,{W},16178.0,1439.0,,60d5ea8d-6c6c-5ed8-8b53-6d0c91e9f4c8,27507.0,27506.0,129524.0,Demystify,14,,Destroy target enchantment.,Instant,,,"10E,8ED,9ED,M12,ONS,ROE,XLN",,"{'cardKingdom': 'https://mtgjson.com/links/81546f8c1e0ce797', 'cardKingdomFoil': 'https://mtgjson.com/links/74124ec5b0fea589', 'cardmarket': 'https://mtgjson.com/links/d00c59f67e0679a2', 'tcgplayer': 'https://mtgjson.com/links/b9cdae2189de3793'}",common,6197c672-dfa1-4d1e-97ea-af916864d23c,d608ba52-66cc-42ab-bee9-d46dfec2f754,fd591199-9f7a-4147-a150-13279dbb4498,10E,,,,15097.0,Destroy target enchantment.,,Instant,Instant,2f9c211e-1869-5b3f-94ea-f73b7910a5af,,
13,14,Adam Rex,,"mtgo,paper",black,123228.0,,B,,B,2.0,,9891.0,,,,"""Even the bravest of warriors yet knows the dark clutch of fright upon his stalwart heart.""
—Lim-Dûl the Necromancer",,2003,,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,Enchant,normal,,,,{B}{B},16306.0,1979.0,,f3805ee8-ab58-5746-aed4-0bd25f1633b8,,,,Fear,142★,,,,,,"10E,2ED,3ED,4BB,4ED,5ED,6ED,7ED,8ED,9ED,CED,CEI,FBB,ICE,LEA,LEB,SUM",,"{'cardKingdomFoil': 'https://mtgjson.com/links/11caf8c877c6814f', 'cardmarket': 'https://mtgjson.com/links/982f8bcc343ae3a7', 'tcgplayer': 'https://mtgjson.com/links/991c84975096c04b'}",common,5da4136b-ad5b-4234-a476-90e1dcae00c6,2c079c5c-4f68-4a66-93ac-aabbf1ac4056,355bbe9b-59bf-470f-8600-410af4c7fe18,10E,,Aura,,15120.0,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Enchanted creature has fear. (It can't be blocked except by artifact creatures and/or black creatures.)",,Enchantment — Aura,Enchantment,f49300ef-efa0-5b82-ace3-f2f06795fbd5,b159e707-915c-5940-bd70-7f0416cc8def,
14,15,Stephen Tappin,,"mtgo,paper",black,,122733.0,W,,W,3.0,,7102.0,,,,He is the only one who sees the patterns in the overlapping maps and conflicting reports.,,2003,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,normal,,,,{1}{W}{W},16179.0,8191.0,,f80fd1e6-0ac6-5db3-bac6-efd541cb9ec7,27752.0,27751.0,135258.0,Field Marshal,15,,Other Soldier creatures get +1/+1 and have first strike. (They deal combat damage before creatures without first strike.),Creature - Human Soldier,,2,"10E,CSP",,"{'cardKingdom': 'https://mtgjson.com/links/71782330a610acaa', 'cardmarket': 'https://mtgjson.com/links/269b1fb454ae7d53', 'tcgplayer': 'https://mtgjson.com/links/e88bd7336e647e0a'}",rare,1e22d287-274e-4222-9ed7-3e609a84ac07,9d77dc26-2898-46f4-9984-c8100320c433,1c0a53fc-8037-46e3-90ea-cb8b73631a83,10E,,"Human,Soldier",,15123.0,Other Soldier creatures get +1/+1 and have first strike. (They deal combat damage before creatures without first strike.),2,Creature — Human Soldier,Creature,668c64a2-cecb-5f48-af16-d7a64814d3e7,6d6a31d5-a80b-5f31-9b46-2c2083a95581,
15,16,Greg Staples,,"mtgo,paper",black,123237.0,,B,,B,3.0,,4659.0,,,,Its victims are known by their eyes: shattered vessels leaking broken dreams.,,2003,,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,Flying,normal,,,,{1}{B}{B},16315.0,2784.0,,654077d3-ec17-5a82-b7b2-37aadcb09dce,,,,Hypnotic Specter,151★,,,,,2,"10E,2ED,3ED,4BB,4ED,9ED,ATH,CED,CEI,FBB,HA1,LEA,LEB,M10,MB1,P06,PRM,PTC,SUM",,"{'cardKingdomFoil': 'https://mtgjson.com/links/3e9bba9e8ffa4e44', 'cardmarket': 'https://mtgjson.com/links/b3bbc7ad44eb72a2', 'tcgplayer': 'https://mtgjson.com/links/2f053106a7f9bc14'}",rare,2110f97e-d9a2-4575-be70-8b13dc85d418,91b6d088-e235-4a3c-98f5-9a39389f8be0,759af941-f6a3-4726-91f2-9b1e4e55ea71,10E,,Specter,,15171.0,"Flying
Whenever Hypnotic Specter deals damage to an opponent, that player discards a card at random.",2,Creature — Specter,Creature,f39b4446-0ca6-5446-8507-4b1ba37bb3e7,c620a95f-984f-5234-b8f3-a2e359972e85,
16,17,Ittoku,,"mtgo,paper",black,123102.0,122734.0,W,,W,2.0,,18505.0,,,,"""I thought of fate as an iron lattice, intricate but rigidly unchangeable. That was until some force bent fate's bars to spare my life.""
—Ilromov, traveling storyteller",,2003,,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,normal,,,,{1}{W},16180.0,7755.0,,e74a0b1f-7e31-5482-bcbb-5de87838d659,27738.0,27737.0,132105.0,Ghost Warden,16,,{T}: Target creature gets +1/+1 until end of turn.,Creature - Spirit,,1,"10E,GPT",,"{'cardKingdom': 'https://mtgjson.com/links/20eeb164fe9b8a10', 'cardKingdomFoil': 'https://mtgjson.com/links/988ba0cb483d4211', 'cardmarket': 'https://mtgjson.com/links/b442008c3c720e38', 'tcgplayer': 'https://mtgjson.com/links/0454a19dc68d3c10'}",common,2cd81534-79cb-4fde-bfa5-11c510ac6e11,96ac670c-de65-43af-a257-4a9f5b242e63,66bd5999-742a-43e0-827c-ecb8ec7db242,10E,,Spirit,,15141.0,{T}: Target creature gets +1/+1 until end of turn.,1,Creature — Spirit,Creature,d68306e2-9877-5987-84b3-12b8234c8eec,,
17,18,Kev Walker,,"mtgo,paper",black,123103.0,122735.0,W,,W,3.0,,3509.0,,,,"Once heard, the battle song of an angel becomes part of the listener forever.",,2003,,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,normal,,,,{1}{W}{W},16181.0,2361.0,,3512bcb5-7103-5605-88ed-b89e3171cc2b,27289.0,27288.0,129572.0,Glorious Anthem,17,,Creatures you control get +1/+1.,Enchantment,,,"10E,7ED,8ED,9ED,M21,PJAS,PJJT,PJSE,PM21,PRM,PS11,PSUS,USG",,"{'cardKingdom': 'https://mtgjson.com/links/b2be19d1b97c001f', 'cardKingdomFoil': 'https://mtgjson.com/links/15c47c361fb90f65', 'cardmarket': 'https://mtgjson.com/links/247dd3288842f727', 'tcgplayer': 'https://mtgjson.com/links/a1682f95aafef1a2'}",rare,2efbc588-019e-416a-938c-4ccbe7121335,1b1a6269-0822-4f73-b61f-ef580839e425,e3886fe8-9b76-4613-8891-4ec74657c087,10E,,,,15144.0,Creatures you control get +1/+1.,,Enchantment,Enchantment,546eac7c-1424-597d-ac13-bf8558e88fe3,,
18,19,Anthony S. Waters,,"mtgo,paper",black,123104.0,122736.0,W,,W,1.0,,15819.0,,,,"""Do not let a single shaft loose until my word. And when I give that word, do not leave a single shaft in Eiganjo.""
—General Takeno",,2003,,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,normal,,,,{X}{W},16182.0,7266.0,,aff69ea2-98dc-5567-86ea-616b3d97fbf1,27666.0,27665.0,132107.0,Hail of Arrows,18,,Hail of Arrows deals X damage divided as you choose among any number of target attacking creatures.,Instant,,,"10E,CN2,SOK",,"{'cardKingdom': 'https://mtgjson.com/links/868c6df7a48bba43', 'cardKingdomFoil': 'https://mtgjson.com/links/40b24847b091ccca', 'cardmarket': 'https://mtgjson.com/links/9a872231aefbeb1f', 'tcgplayer': 'https://mtgjson.com/links/6de9c56b75114fea'}",uncommon,5a49daec-5f0f-497b-a88e-fa62bf48ca23,c20ae19e-db9a-4217-bbe4-04e7d44c65a9,37429f88-e29b-4b1b-90fd-23a04d703c0a,10E,,,,15155.0,Hail of Arrows deals X damage divided as you choose among any number of target attacking creatures.,,Instant,Instant,c19bcfc2-fc10-5040-8239-1c193098df47,,
19,20,Luca Zontini,,"mtgo,paper",black,,122737.0,W,,W,3.0,,16419.0,,,,,,2003,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Enchant,normal,,,,{2}{W},16183.0,7421.0,,20468a65-9ffa-5d19-94a8-91d5aa3fa445,27662.0,27661.0,132090.0,Heart of Light,19,,"Enchant creature (Target a creature as you play this. This card comes into play attached to that creature.)
Prevent all damage that would be dealt to and dealt by enchanted creature.",Enchantment - Aura,,,"10E,BOK",,"{'cardKingdom': 'https://mtgjson.com/links/c2242e3062629e2e', 'cardmarket': 'https://mtgjson.com/links/ab9c29914fe2f09d', 'tcgplayer': 'https://mtgjson.com/links/c3580cefc8556adc'}",common,45aa4b29-ce6b-4579-bee6-06a9ccfda55c,4a0ca00f-0ea8-4f2b-b660-bf498541afcb,634d0256-849d-4ef7-b070-b6b8f3242e00,10E,,Aura,,15158.0,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Prevent all damage that would be dealt to and dealt by enchanted creature.",,Enchantment — Aura,Enchantment,36fcaa1e-64e3-56e3-950c-907db167e41f,08548840-8e62-5fed-b432-f2a5a0cb5f4e,
